Team,Goalkeepers,Defenders,Midfielder,Forwards
Leicester City,D. Ward:552$;Daniel Iversen:395$;A. Smithies:986$,T. Castagne:156$;J. Justin:417$;W. Faes:344$;Jonathan Evans:470$;C. Soyuncu:396$;D. Amartey:201$;V. Kristiansen:174$;Harry Souttar:878$;Ricardo Pereira:964$;L. Thomas:431$;Jannik Vestergaard:240$;Ryan Bertrand:176$;Lewis Brunt:493$;Joe Wormleighton:404$,Y. Tielemans:811$;J. Maddison:295$;Kiernan Dewsbury-Hall:849$;W. Ndidi:970$;B. Soumare:726$;N. Mendy:118$;D. Praet:149$;Sammy Braybrooke:179$,Harvey Barnes:161$;J. Vardy:976$;K. Iheanacho:541$;P. Daka:428$;Tete:821$
Liverpool FC,Alisson:481$;Caoimhin Kelleher:442$;Harvey Davies:664$;Adrian:516$,V. Van Dijk:409$;A. Robertson:728$;Alexander-Arnold:296$;I. Konate:568$;J. Matip:737$;Joe Gomez:500$;K. Tsimikas:274$;Rhys Williams:388$;Nathaniel Phillips:691$;Calvin Ramsay:527$,Fabinho:785$;J. Henderson:989$;Thiago:503$;H. Elliott:693$;J. Milner:276$;Curtis Jones:961$;N. Keita:581$;Fabio Carvalho:240$;Arthur Henrique:601$;A. Oxlade-Chamberlain:347$;Stefan Bajcetic:895$;Bobby Clark:721$;Ben Doak:596$,M. Salah:443$;C. Gakpo:698$;L. Diaz:115$;D. Nunez:317$;Diogo Jota:981$;Firmino:979$
Man. City,Ederson:546$;S. Ortega:543$;S. Carson:931$,J. Stones:551$;Ruben Dias:522$;M. Akanji:735$;N. Ake:548$;K. Walker:839$;A. Laporte:822$;S. Gomez:613$;Rico Lewis:338$;B. Mendy:993$,K. De Bruyne:733$;Rodri:395$;I. Gundogan:305$;Bernardo Silva:958$;P. Foden:607$;K. Phillips:771$;Maximo Perrone:132$;C. Palmer:623$,E. Haaland:809$;J. Grealish:144$;R. Mahrez:961$;J. Alvarez:437$;Benjamin Knight:206$
Manchester United,D. De Gea:636$;Nathan Bishop:348$;J. Butland:160$;T. Heaton:123$,L. Shaw:675$;R. Varane:531$;Lisandro Martinez:506$;D. Dalot:360$;A. Wan-Bissaka:272$;H. Maguire:896$;V. Lindelof:674$;T. Malacia:867$;Brandon Williams:283$;Teden Mengi:497$;Marc Jurado:941$;Rhys Bennett:304$;Phil Jones:842$,Bruno Fernandes:956$;Casemiro:656$;C. Eriksen:314$;Scott Mctominay:514$;Fred:499$;M. Sabitzer:428$;D. Van De Beek:187$;Zidane Iqbal:704$;Kobbie Mainoo:485$,M. Rashford:917$;Antony:393$;Jadon Sancho:401$;W. Weghorst:737$;A. Martial:381$;A. Elanga:722$;Alejandro Garnacho:118$;F. Pellistri:575$;M. Greenwood:271$
Newcastle United,Nick Pope:940$;M. Dubravka:818$;L. Karius:140$;Mark Gillespie:450$,K. Trippier:246$;S. Botman:803$;F. Schar:644$;D. Burn:871$;E. Krafth:671$;Matt Targett:545$;J. Lascelles:152$;J. Lewis:582$;P. Dummett:106$;Harrison Ashby:982$;J. Manquillo:175$,B. Guimaraes:144$;M. Almiron:507$;Joe Willock:156$;Joelinton:340$;S. Longstaff:491$;M. Ritchie:866$;E. Anderson:898$;Matthew Longstaff:440$,A. Isak:196$;C. Wilson:473$;A. Saint-Maximin:241$;J. Murphy:556$;A. Gordon:393$;Ryan Fraser:336$
Nottingham Forest,Keylor Navas:123$;Dean Henderson:933$;W. Hennessey:519$;George Shelvey:949$,Renan Lodi:786$;S. Aurier:130$;J. Worrall:467$;S. McKenna:914$;N. Williams:448$;Felipe:813$;M. Niakhate:662$;W. Boly:514$;H. Toffolo:339$;S. Cook:406$;Giulian Biancone:548$;Omar Richards:709$,R. Freuler:727$;Danilo:231$;M. Gibbs-White:138$;Gustavo Scarpa:418$;R. Yates:232$;Orel Mangala:152$;C. Kouyate:519$;J. Shelvey:322$;J. Lingard:401$;J. Colback:673$;Cafu:292$;H. Arter:201$,T. Awoniyi:960$;Chris Wood:520$;A. Ayew:274$;E. Dennis:532$;Lyle Taylor:292$;S. Surridge:860$;Alexander Mighten:265$
Southampton FC,G. Bazunu:961$;Alex Mccarthy:429$;W. Caballero:621$,M. Salisu:211$;J. Bednarek:653$;Kyle Walker-Peters:271$;R. Perraud:639$;D. Caleta-Car:969$;A. Bella-Kotchap:250$;James Bree:500$;Lyanco:309$;Tino Livramento:631$;Juan Larios:921$,J. Ward-Prowse:750$;Joe Aribo:710$;S. Armstrong:834$;C. Alcaraz:792$;Romeo Lavia:963$;Ainsley Maitland:193$;Ibrahima Diallo:250$,Che Adams:731$;M. Elyounoussi:597$;M. Orsic:301$;Adam Armstrong:272$;P. Onuachu:625$;K. Sulemana:702$;Theo Walcott:958$;Moussa Djenepo:842$;Sekou Mara:883$;Samuel Edozie:440$
Tottenham Hotspur,H. Lloris:632$;F. Forster:627$;Alfie Whiteman:271$;Brandon Austin:188$,E. Dier:693$;C. Romero:340$;B. Davies:425$;Emerson Royal:508$;Pedro Porro:142$;C. Lenglet:829$;D. Sanchez:260$;Japhet Tanganga:169$;George Abbott:756$,Pierre-Emile Hojbjerg:651$;I. Perisic:801$;R. Bentancur:345$;Oliver Skipp:321$;Y. Bissouma:394$;R. Sessegnon:590$;Pape Sarr:616$;Alfie Devine:422$;Romaine Mundle:645$;Matthew Craig:185$,H. Kane:358$;Heung-Min Son:645$;D. Kulusevski:736$;Richarlison:801$;A. Danjuma:345$;Lucas Moura:794$
West Ham United,L. Fabianski:731$;A. Areola:422$;Joseph Anang:666$,N. Aguerd:559$;V. Coufal:335$;Kurt Zouma:803$;A. Cresswell:794$;Emerson:732$;T. Kehrer:702$;Angelo Ogbonna:939$;B. Johnson:952$,T. Soucek:476$;D. Rice:659$;L. Paqueta:177$;P. Fornals:379$;M. Lanzini:990$;F. Downes:133$;Kaelan Casey:883$;Armstrong Okoflex:693$,J. Bowen:630$;M. Antonio:693$;S. Benrahma:946$;G. Scamacca:512$;Danny Ings:746$;Gnaly Cornet:573$;Divin Mubama:104$
Wolves,Jose Sa:685$;D. Bentley:227$;Louie Moulden:929$,N. Semedo:753$;C. Dawson:493$;M. Kilman:583$;N. Collins:496$;Jonny:990$;R. Ait-Nouri:543$;Toti Gomes:262$;Hugo Bueno:244$;Joseph Hodge:938$;Dexter Lembikisa:494$,Ruben Neves:393$;Joao Moutinho:438$;Matheus Nunes:972$;M. Lemina:947$;Joao Gomes:738$;Boubacar Traore:246$;Harvey Griffiths:298$,R. Jimenez:660$;Matheus Cunha:932$;S. Kalajdzic:934$;P. Sarabia:564$;D. Podence:870$;A. Traore:678$;Hee-Chan Hwang:599$;Diego Costa:894$;Pedro Neto:175$;Nathan Fraser:307$;Chiquinho:313$
